Created_at,Year,Month,Text,latitude,longitude
2020-01-01 01:55:17+00:00,2020,January,"this lady in front of me has the most disgruntled face smelling the piss on the train and its making me wonder, is she weird for being so bothered by it or am I weird for being so used to it",37.8951445,-122.12431
2020-01-01 01:56:47+00:00,2020,January,@[agency] @[agency] I would like to speak to someone in regards to this bus driver. He drove bus [bus number] on the [line number] line direction to [location name] on Dec 31st at 8:38pm past the bus stop [location name] and [location name]. Get this racist ass driver off the damn road. #racist,40.655126,-73.939485
2020-01-01 17:17:39+00:00,2020,January,@[agency name] first rude driver of the year. [bus number]. There was a car parked I step out of the way so I can get the bus. He scowled me as Im a child. Unacceptable embarrassment,41.833768,-87.671851
2020-01-01 07:25:50+00:00,2020,January,I have to buy a [agency name] pass bc too often do I get on the bus going the wrong direction and I'd kill myself if I knew I paid full price for that,41.833768,-87.671851
2020-01-03 14:22:11+00:00,2020,January,@[mayor name] The crime that is taking place on the [agency name] is getting ridiculous. What are you going to do about it? If you can afford extra police for a one day celebration (new year) then why cant you add extra security on trains and buses? Cameras are not enough!,41.833768,-87.671851
2020-01-03 18:02:28+00:00,2020,January,Dude on the train really just spammed the security buzzer to complain about the AC then threatened to sue when the driver laughed at him.,34.0207635,-118.28762
2020-01-03 22:34:55+00:00,2020,January,"Jam packed [agency name] train out of [location]. Conductor and passengers make accommodation for a wheelchair passenger. Angry woman comes up after, excuse me, you need to stand
 
 Then an entire car of passagers let her know that person was in a wheelchair. 
 
 Be kind and aware everyone",40.788882,-73.950947
2020-01-05 21:11:37+00:00,2020,January,Ah yes. @[agency name] let's yell at passengers in wheel chairs and with strollers to make them get off of your train that has been shocking taken out of service. Get fucked.,42.3113985,-71.088478
2020-01-05 21:19:46+00:00,2020,January,Hi @[agency name] Im at the [location name] stop for the [bus number]. I just swiped and payed and literally dozens are just jumping or walking through the gate. This is theft!!. Please police this area. It isnt fair to those of us who pay and support the hard working employees of the [agency name] and the city,40.788882,-73.950947
2020-01-06 14:53:52+00:00,2020,January,"Without fail, queue the obnoxiously loud phone conversation and guy with his shitty phone speaker playing shitty music. I hate people sometimes. #MAX",45.5364205,-122.60733
2020-01-06 18:54:11+00:00,2020,January,Shout out to the loop driver for blaming me and this other chick for not stopping the bus at the stop we requested because she didnt notice the ding or the light go on #happywinterquarter #iamnotabusdriver,36.979373,-122.02814
2020-01-07 00:37:44+00:00,2020,January,"@[agency name] you have got to do something about the [location number] exit in the [train number] street stop. It is full of homeless under the influence almost all the time. They fight, get high, and even defecate right there at all times of day. @[agency name] is called but rarely do anything.",40.8559865,-73.866384
2020-01-07 13:00:13+00:00,2020,January,"It really makes a difference when your bus driver greets you enthusiastically and starts your commute with a smile! Thank you, @[agency name, bus number, location number].",42.3113985,-71.088478
2020-01-07 13:23:37+00:00,2020,January,Never again will I get on the ghetto dusty ass red line these bitches are broke poor dirty and stank early in the fucking morning,41.833768,-87.671851
2020-01-07 23:45:37+00:00,2020,January,"Shout out to the street performers on [agency name], we need u those days when our phones not charged and bored as hell",37.792078,-122.20974
2020-01-08 02:18:33+00:00,2020,January,Rider Note: The [bus number] needs a bus lane. It had to fight through some serious 520 traffic on [street name] to make it over to [street name].,47.614704,-122.30834
2020-01-08 20:57:50+00:00,2020,January,The [subway name] smells like straight ASS,42.3113985,-71.088478
2020-01-09 02:01:50+00:00,2020,January,Shout out to the [agency name] driver that just screamed down the block I love your jacket!,40.004886,-75.138524
2020-01-09 06:29:05+00:00,2020,January,Absolute Hate With A Passion Traveling On [agency name] Late At Night and In The Cold. It's Cold Asf My Body Hurt. I Hate It Hereeeeeerreeerr,41.833768,-87.671851
2020-01-09 20:08:06+00:00,2020,January,Shout out to @[agency name]. I'm a big dummy and left my bag on the train last night. An engineer found it and went out of his way to contact me. I have secured the bag.,41.833768,-87.671851
2020-01-09 22:06:50+00:00,2020,January,"@[agency name] why yall have [bus name] buses running at 18 minute intervals during rush hour? Yall claimed this system was fast but Im ready to go home, not wait 20 min on another rude bus driver.",37.5300675,-77.457076
2020-01-10 01:40:13+00:00,2020,January,"I genuinely love when @[agency name] train engineers (conductors?) have a great sense of humor. Shout out to whoever is driving [train number] right now, your banter with passengers getting on and off is making my night!",41.833768,-87.671851
2020-01-10 06:04:20+00:00,2020,January,Harassing my bus driver by taking way too long to cross the street,41.1182415,-77.738462
2020-01-11 18:49:54+00:00,2020,January,@[agency name] i hate your bus drivers always taking their sweetass time... i need to be some where i expect you guys to follow your posted schedule no if ands or buts about it,29.4770395,-98.671088
2020-01-11 23:44:28+00:00,2020,January,This bus driver just yelled for someone to turn the volume down on their phone (playing obnoxious videosmusic) and I am ABOUUUTTT IT.should be a requirement on everything. #headphonesarerequiredALWAYS,37.2697605,-120.02525
2020-01-12 00:46:59+00:00,2020,January,People are so scared of stinky homeless people on the train so Im the only person still here,40.655126,-73.939485
2020-01-12 01:44:07+00:00,2020,January,"@[agency name] yo there really, really needs to be a way to text bart police just sat on a train where a woman was screaming at and threatening another passenger. No tennible way to make a phone call while thats happening; especially in the trans bay tube.",37.7598095,-122.44614
2020-01-12 21:34:00+00:00,2020,January,Dawg. Bus driver letting down the ramp on the bus for the man in the wheel chair... they done dropped my guy during the lift and he hit the ground hard asf. Please sue. Everything hurts now. How you do that?!,27.698442,-81.557818
2020-01-13 13:20:13+00:00,2020,January,"This one nigga on the train keep looking at me cause Im standing next to where he sitting, the train is dumb crowded and everytime it stops I gotta move over to let ppl through and my book bag fake touching him, he sucked his teeth and I told him to get a car",40.788882,-73.950947
2020-01-13 14:35:59+00:00,2020,January,"Guy on the train wearing a backpack isnt very aware of his surroundings. Doesn't check if he is in the way of disembarking riders or riders boarding the train. It's not that important but thought it was a little rudeweird. Remember kids, don't be a dick.",45.5364205,-122.60733
2020-01-13 21:16:22+00:00,2020,January,"Its terrifying when cars turn right in front of a bus! Just experienced this on the [bus number] at [street name]. An SUV nearly met its death, but our awesome @[agency name] driver had quick reflexes and amazing patience. He didnt even yell at the driver #reckless",39.008352,-77.020753
2020-01-14 12:51:53+00:00,2020,January,"Hey @[agency name] I WAS holding onto this pole and so were others when this person decided to lean their whole entire body on the pole so no one could grab it. Seriously, @[agency name] why is this ok?? I've tried to ask people nicely to be polite, that didn't work because they are so mean",40.004886,-75.138524
2020-01-20 12:50:46+00:00,2020,January,Literally watching a homeless man piss on the platform ... I hate the subway,40.655126,-73.939485
